epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,0.6892753472588481,0.5523552581880969,0.547092185877966,0.5435540069686411,0.7406213673980394,0.6261169386169386,0.5899810722154382,0.49825783972125437
2,0.6715705198139541,0.6214374359251066,0.6070422809280243,0.586527293844367,1.252644223203227,0.5220473970473971,0.5459788501628291,0.5017421602787456
3,0.6494469393421133,0.670506663788917,0.6616891114408667,0.6248548199767712,0.7022222990773697,0.6648212898212899,0.6539181076350759,0.49825783972125437
4,0.592846243500571,0.7456752819295311,0.7217255759327963,0.6736353077816493,0.7031731422769899,0.6166472416472416,0.5978439312516369,0.5853658536585366
5,0.49223461882162595,0.8461932768574975,0.8533426410690719,0.7851335656213705,0.9003898939604543,0.623591686091686,0.5961236989065088,0.5749128919860628
6,0.36174551202860444,0.9212189068148707,0.917615601231714,0.8490127758420442,1.0373934503216362,0.6124222999222999,0.5818628407471741,0.5644599303135889
7,0.356854964908684,0.9215885177790967,0.9233501006060092,0.8420441347270615,0.8657437965844982,0.6165501165501165,0.6196416390864132,0.578397212543554
8,0.2904329936817271,0.9517131603086386,0.9513217249685468,0.8896631823461092,0.9986445862241738,0.6456876456876457,0.6288383189343095,0.6167247386759582
9,0.18687281528277958,0.9775805320239573,0.9769963065992628,0.9349593495934959,1.2644961885458916,0.6735625485625486,0.6352748004521116,0.6202090592334495
10,0.19785511258310282,0.9751308476771166,0.9739078331547428,0.9326364692218351,0.9012535108506472,0.6860431235431235,0.6799449328269469,0.6306620209059234
11,0.12160314278597062,0.9915987697620461,0.991847200526099,0.9512195121951219,1.2626751623917956,0.6630730380730381,0.6590908014136617,0.6236933797909407
12,0.08861042259739113,0.9954135865752982,0.9956447408629073,0.967479674796748,1.1969465129466839,0.6696775446775447,0.6253351797842737,0.6306620209059234
13,0.1038452109254888,0.9929315275454595,0.9927090054244464,0.9698025551684089,1.3908046895203274,0.6457847707847708,0.6320811081121691,0.6062717770034843
14,0.11225722821885839,0.9919818701775212,0.9924967410845617,0.9639953542392566,1.4970642249343287,0.6600135975135976,0.6298397161724656,0.5993031358885017
15,0.08717909237233604,0.9958506447957697,0.9959778157227008,0.9651567944250871,1.292260658450243,0.6657439782439784,0.6416482145579692,0.6445993031358885
16,0.04615859280618364,0.9986186801920899,0.9987625097313472,0.983739837398374,1.492880133386273,0.6348096348096347,0.6322092824069337,0.5958188153310104
17,0.08920074682617853,0.9945448659148546,0.9932977129443189,0.9663182346109176,1.4948400371166057,0.6400058275058275,0.6222220958073357,0.6097560975609756
18,0.04415363585630499,0.9988884692170723,0.9988707085667119,0.9860627177700348,1.3669040095100005,0.6473873348873349,0.6427440774263223,0.5958188153310104
19,0.04317642458466841,0.9989316354610694,0.9989631100263978,0.983739837398374,1.473297358389931,0.6702117327117326,0.64951391101242,0.6515679442508711
20,0.04523861721486857,0.998737387363082,0.9987440330332241,0.9860627177700348,1.9498537841158876,0.6345182595182596,0.6026930892844793,0.6132404181184669
21,0.046594759589980564,0.9986942211190848,0.9987865208490817,0.9872241579558653,1.5464804114364996,0.69760101010101,0.6680786554745461,0.662020905923345
22,0.09637794324329921,0.9942319106458748,0.993718840249748,0.9628339140534262,1.599946085168925,0.6153846153846154,0.6113764720476091,0.578397212543554
23,0.059184967536959496,0.9974100253601683,0.9977742498403788,0.9825783972125436,1.4991137308526121,0.6690462315462316,0.642818387484575,0.627177700348432
24,0.06805224010545617,0.9966761992122161,0.9967101014346517,0.9802555168408827,1.5521544346826002,0.6574883449883451,0.6201804785702606,0.5888501742160279
25,0.06602020051144279,0.9964711595532294,0.9960777384152296,0.9802555168408827,1.4663048189276187,0.6353438228438228,0.6220801909798255,0.5993031358885017
26,0.05313318592261493,0.9972535477256785,0.9970802460229987,0.9860627177700348,1.417234912566607,0.6504953379953381,0.6290346868226453,0.5993031358885017
27,0.03250730564248825,0.9991312793395565,0.9990729897851522,0.9907084785133565,1.5883163558481461,0.6683177933177935,0.6509942474793364,0.5993031358885017
28,0.02977347580346081,0.999476609291534,0.9994697071435791,0.9895470383275261,1.8095988496255375,0.6327214452214452,0.6152978621804666,0.5993031358885017
29,0.01740454619752544,0.9998165434630119,0.999821717145934,0.9953542392566783,1.6437369821794356,0.6490870240870241,0.6278548197608792,0.5818815331010453
30,0.0377533281574612,0.9988506987535747,0.9989798095348963,0.9907084785133565,1.764281960729938,0.6572455322455323,0.6233182766802625,0.6202090592334495
31,0.05330227141492458,0.9980035612151297,0.9982223412132155,0.9825783972125436,1.7830989252814848,0.615530303030303,0.6333325285088661,0.5644599303135889
32,0.05243595801164049,0.9976906059461501,0.9978407624745051,0.9849012775842044,1.596492594542819,0.6169386169386168,0.5919322211739371,0.5714285714285714
